complaint_id,complaint_text,primary_category,secondary_category,severity
8872146,"On XX/XX/XXXX at approximately XXXX XXXX I received an email Withdrawal Notification from Navy Federal Credit Union informing me that {$380.00} was withdrawn from my EveryDay Checking account. Shocked, confused and upset, I contacted NFCU to inquire about and resolve the issue. After several attempts at trying to speak with someone, I was connected with XXXX, who in turn supposedly transferred me to another department for assistance. After being transferred I waited nearly XXXX mins on hold ( without the previous agent coming back to the phone to do a courtesy check ) before finally disconnecting from the call. 

However, soon it dawned on me that the withdrawn funds is the exact amount of a recently submitted claim regarding disputed debit card transaction ( XX/XX/XXXX ) with the merchant XXXX. On Tuesday, XX/XX/XXXX, I received an email from NFCU- Requesting Additional Info : "" We could use your help! Strong documentation will greatly assist us in recovering the {$380.00} that may have been charged to your debit card in error by XXXX. '' First of all, with regards to that email and in response, I never indicated to NFCU nor did I indicate it anywhere in my dispute claim that my card was charged in error. What I did state, however, was that I was very dissatisfied with the transaction and provided in depth details surrounding my expectations and results from the service transaction not being met with this particular entity. Secondly, when they sent me that email, I responded to it within 2 days of having received it providing them with the additional information they requested including communications and other supportive evidence and documentations for my claim. I had not heard back from them regarding that claim or my submitted documentation until this recent Withdrawal Notification email I received from them. Funds were unjustifiably, wrongfully and unfairly withdrawn from my checking account. Not only was the business paid in- full for their services at the time of the transaction ( XX/XX/XXXX ), I was never issued a full refund for the transaction by this business. I only received a {$21.00} credit from them after having discovered I had been overcharged for the service. So how dare they double withdraw the amount from my account to give to a business that was already paid. Furthermore, NFCU has never issued me any temporary credit for the withdrawn dollar amount this disputed claim. I have absolutely no record of NFCU ever issuing me a temporary credit for the disputed transaction in the amount of {$380.00}. So, how do you justify a withdrawal in which there was no temporary credit issued for it in the first place? Make it make sense. 

I've noticed that NFCU has definitely changed for the worse with regards to their integrity, dignity, fairness and seemingly now non-existent respect and exceptional customer service to and for all. I've noticed now with this institution that after you've identified yourself via phone with your personal information and or if you're one with multiple disputed transactions and or complaints against a merchant and or NFCU you get treated differently by their phone agents. I guess I am considered an at-risk, problem member, meaning no one cares to really assist you and you find yourself not being helped at all, placed on hold and or transferred and waiting on hold for the next available phone agent for an unusual extended period of time ( without the previous agent coming back to the phone to do a courtesy check ) before you finally decide to disconnect from the call.

I have no doubt this recent withdrawal was done out of spite and with malicious intent. And not to mention there has also been other fairly recent unexplainable, suspicious activity and incident involving this institution in which my in-person check deposit at my local branch was not deposited into my checking account as requested. It was only after I contacted them via phone, that I spoke with a very helpful, mature and seasoned, emphasis on seasoned, representative who went above and beyond to help me by contacting the branch office I visited where I made the deposit that was able to finally get some resolve. And even though, I was contacted by a branch "" manager '' regarding the incident, who by the way admitted no explanation nor wrongdoing on their parts, I am convinced that a fraudulent and suspicious activity regarding my bank deposit and checking account had taken place. In fact the helpful agent that I spoke to via phone regarding the incident advised me that if I had not contacted NFCU about the incident that the alleged "" clerical error '' would not have been discovered and my funds would not have been recovered. That along with the fact that they were able to pull the surveillance footage from the day of my visit to confirm my in-person check deposit. 
I am truly convinced that this incident along with other recent communications and other highly unfavorable and unsatisfactory dealings with this institution, that they are forcing me after 25 years of loyalty to them, that it is finally time to walk away and bank with a more respectable institution that does not operate under bad, shady and discriminatory business practices. As I stated earlier, the money that was withdrawn from my checking account was done so wrongfully and unfairly. There was and is no absolutely no justifiable reason for this institution to have withdrawn that money from my checking account. Absolutely none. Like I said I had never been issued a temporary credit for the aforementioned dispute transaction, nor have I received a full refund from the merchant for that disputed transaction. Therefore, I want my funds credited back to my checking account immediately.",Checking or savings account,Managing an account,5
1688275,"i just ran a credit report on myself, and could not print an online copy due to what seems like identity fraud. I have seen on my report from equifax that someone has opened a mortgage loan as well as a a car loan and credit card under my information, when I have n't done this.",Credit reporting,Incorrect information on credit report,5
5135615,"Hello, I noticed inaccurate accounts and information on my credit report and contacted the 3 credit bureaus about it ( Equifax, XXXX, and XXXX ). I sent letters asking them to validate these accounts and never received anything in the mail or email from this. It has been well over 30 days and I never received any information and the accounts are still on the report. I also sent letters to these three companies to validate this debt or remove them and they still have not been removed. I know that according to the law they have 30 days to validate or delete it. I have not heard from any of the companies. I sent certified letters and copies of my Identification to show that this is me inquiring about my report but nothing. Can you please help with this issue?","Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation into an existing problem,1
12207437,Could you please take a moment to review and examine the attached documents? I believe your expertise will be invaluable in ensuring their accuracy and completeness. Your feedback and insights would be greatly appreciated. Thank you for your time and consideration in this matter.,Credit reporting or other personal consumer reports,Incorrect information on your report,1
8641691,"I am writing to follow up on the dispute I recently submitted regarding the negative accounts listed on my credit report. Despite my efforts to address these discrepancies, I have not yet received a satisfactory resolution to this matter.",Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem,1
13773866,"I am distressed to inform you that you have included inaccurate information in my credit profile and have failed to maintain reasonable procedures in your operations to ensure maximum possible accuracy in the credit reports you publish. Credit reporting laws require that bureaus report only 100 % accurate credit information. YOU ARE VIOLATING FCRA REGULATIONS AND UNITED STATES FEDERAL LAW.

Please block and remove all erroneous information from my credit report and send me an updated copy.

Under the Fair Credit Reporting Act ( FCRA ), this disputed item may not appear on my credit report if it can not be supported by any evidence.

15 U.S. Code 1681n - Civil Liability for Willful Noncompliance, 15 U.S. Code 1681o - Civil Liability for Negligent Noncompliance, and 15 U.S. Code 1692k - Civil Liability : I am entitled to monetary compensation due to your multiple violations. Specifically, under FCRA 15 U.S.C. 1681i ( 6 ) ( Notice of Results of Reinvestigation ), a consumer reporting agency must provide written notice to a consumer of the results of a reinvestigation within 5 business days of completion. Failure to do so constitutes a violation of my rights.

Additionally, as per FCRA, a "" consumer report '' excludes any report solely detailing transactions or interactions between the consumer and the reporting entity. Including late payments or derogatory statuses constitutes an infringement of 15 U.S.C. 1681a ( d ) ( 1 ).

Accounts listed below in green color highlighted and tag as in violation under 15 U.S. Code 1666 ( b ) billing error are inaccurate late payment history, must be updated to paid on time as never been late as agreed.

( 4 ) The creditors failure to properly reflect a payment made by the obligor or a credit issued to the obligor.

( 5 ) A computation error or similar error in the creditors accounting on a statement.

This is a clear violation of the United States Code Law ( TILA, 15 U.S. Code 1666 ( b ) ). These accounts must be updated to reflect "" paid on time. '' Any continuation of providing negative information required by section FCRA 605B ( 15 U.S.C. 1681c-2 ) And Accounts listed below in yellow color highlight text accounts in status of Charge off that is tag FDCPA Section 807 Violation Misleading False Reporting together with incorrect personal information Must be deleted Immediately!.

Collection Accounts listed below in yelow color highlighted that is tag as in violation Under 15 U.S. Code 1681b Permissible purposes of consumer reports i never gave you any written consent to report anything on my consumer report no consent is a violation of U
S Law. Instruction : As a consumer by law this account must be deleted immediately!

Items listed below that is tag as Unauthorize inquiries that's Violated the United States Code Law 15 U.S.C. 1681 ( c ) ( 1 ) ( A ) ( B ) ( i ) ( 3 ) FURNISHING reports in connection with credit or insurance transactions that are not initiated by consumer. Must be deleted in my credit report.",Credit reporting or other personal consumer reports,Incorrect information on your report,1
6786123,"In accordance with the Fair Credit Reporting act. The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681. Account name : XXXX XXXX Account # XXXX Account name : XXXX account number XXXX Account name : XXXX XXXX XXXX XXXX Account number XXXX Account name XXXX XXXX  Account number XXXX, has violated my rights. 15 U.S.C 1681 section 602 A. States I have the right to privacy. 15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1681c. ( a ) ( 5 ) Section States : no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years. 15 U.S.C. 1681s-2 ( A ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate. furthermore XXXX XXXX  Account number XXXX is violating15.u.s.c 1692g. and account name : XXXX  account number XXXX is reporting as charged off has a balance and has conflicting dates of last activity. which is XXXX more violations of the FCRA. If Experian continues to violate my rights i will be forced to take them to court and ask for a judgement of {$1000.00} for each violation","Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation into an existing problem,1
2952458,"I had an outstanding medical bill of {$790.00} that was sent to collection with Merchants CR. I called them on XX/XX/XXXX to pay this bill and the representative I spoke to told me that XXXX ( who the medical bill was from ) was offering me a settlement for {$600.00} so long as I paid it within 30 days. I agreed and set up a payment plan of three payments of {$200.00} using my credit card. The first payment was charged to my credit card on XX/XX/XXXX, the day that I set up the payment plan. The second payment was charged to my credit card on XX/XX/XXXX and the third was charged on XX/XX/XXXX. However, on XX/XX/XXXX I called Merchant about a different medical bill that I had paid through the doctors office to see if it had come out of my account and while we were on the phone, the representative I was speaking to mentioned that I still had an outstanding balance of {$790.00} from XXXX. I told him that I had already set up a payment plan and that {$400.00} had already been charged to my credit card. He had no record of this anywhere and I ended up having to fax them a copy of my credit card statement to prove that the money came out. It took them until Friday the XXXX to finally resolve the issue. The woman I set up the payment plan with had applied my money to someone else 's account, but they didn't know whose so essentially they lost my money and their accountant had to go and find it. When they called to tell me that they had located my {$400.00} and applied it to my account, I mentioned that I still had another payment of {$200.00} that was scheduled for XX/XX/XXXX and asked if this was going to be applied to my account or if it was still set up to be applied to someone else 's account. They assured me that they fixed everything and that the final payment would be applied to my account and then also told me that I owed another {$36.00} because the settlement was actually for {$630.00} even though the woman I spoke to told me it was only for {$600.00}. I disputed this and told them that the woman set the payment plan up for {$600.00} and that is the amount I agreed on, therefore that is the amount I'm going to pay. They said that was fine and that they'd take off the {$36.00}. Fast forward to last Friday, XX/XX/XXXX. I called them just to make sure everything was good to go and that my balance was settled. They told me that I still owe {$230.00}. I told them that we had already disputed the extra {$36.00} and that the last {$200.00} had already come out of my account XX/XX/XXXX. They said they have no idea where the last {$200.00} is and assured me they would fix it and asked me to give them a call a back Monday or Tuesday. I just got off the phone with them and when I called they said the same thing : "" The {$400.00} we received for your account, but it looks like you still owe {$230.00} ''. It was like the person I spoke to Friday had no recollection of the conversation we had just had. He'd done nothing to try and fix the issue and told me he has no idea how this happened and that his accountant who was able to find and apply the first {$400.00} to my account is out on vacation. This has been going on for over a month now. I've had to take time out of my day at work to call them several times because they keep losing my money. If I hadn't called them last Friday to check and see that all my accounts were paid off, they still would've had me owing {$230.00} to them that I do not owe. No one there seems to know what's going on and none of them seem to know how to fix this issue. Every time I think that it's finally fixed, it turns out that it isn't. I do not trust this company with my money. I still have no idea where my last {$200.00} is and it has been a huge stressful hassle to figure out where the first {$400.00} went.",Debt collection,Attempts to collect debt not owed,1
11641901,XXXX some of my Zelle XXXX did not come out and they were taken out late and I still have Zelle XXXX pending but the money is not on the account.,Checking or savings account,Managing an account,1
2820058,"XXXX XXXX XXXX XXXX XXXX has changed their name 8 years ago, but still pull credit under the old name of XXXX XXXX XXXX XXXX XXXX. They also report to Equifax every 3-5 months instead of monthly. That also has them out of compliance. My Husband ( XXXX XXXX XXXX ) & I don't have the correct credit score because of the missing reporting of two accounts. When we complain they send in ONE update to XXXX 's report, but what about the months missed? What about my credit report? They have also NEVER updated my report. We want our points from those months missed for the last 3 years. How many other people are they doing this to? They don't have the required amount of LICENSED officers to handle loans, complaints, etc. They are constantly trying to cover up & reproduce documents during an audit. They are so many Reg E Violations being done. I personally know previous Officers & employees that have more information of violations. They are extremely rude & talk over you when you are talking. I also followed up in XX/XX/XXXX & was told they will get right on it, but they never did. They said they didn't check the previous employee 's emails. What kind of business decision is THAT? Why would you let 3 people go & have no one following up on emails?! 

I am missing a personal joint loan & auto loanon my credit report. We owe {$4800.00} on the personal loan. It was opened XX/XX/XXXX. I will post below what they show on my Husband 's report where the balance is incorrect. 



XXXX XXXX XXXX Last reported : XX/XX/XXXX - {$5100.00} Good Overview You've paid off 32 % of the original amount. 

Balance {$5100.00} Highest Balance {$7500.00} Monthly payment $ XXXXOpenedXX/XX/XXXX ( 1 yr, 10 mos ) Term48 months Payment History Youve made 100 % of payments for this account on time. 



XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX Current No Info Current Current Current Current Current No Info Current No Info XX/XX/XXXX No Info Current Current No Info Current Current Current Current No Info Last paymentXX/XX/XXXX Current Payment StatusCurrentWorst Payment StatusNo Info This account is NOT showing on my credit report. 

The previous auto loan we had with them is also NOT showing on my report, but is on my Husband 's report. Please see below : XXXX XXXX XXXX Closed : XX/XX/XXXX {$0.00} Closed Overview You've paid off 100 % of the original amount. 

Balance {$0.00} Highest Balance {$7700.00} Monthly payment $ XXXXOpenedXX/XX/XXXX ( 1 yr, 10 mos ) Term36 months Payment History Youve made 100 % of payments for this account on time. 

XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX No Info No Info No Info No Info Current No Info XX/XX/XXXX No Info Current Current No Info Current Current Current Current No Info Last paymentXX/XX/XXXXCurrent Payment StatusCurrentWorst Payment StatusNo Info Account Details Account statusClosedTypeAutoResponsibilityJointRemarks -- Times 30/60/90 days late0/0/0 Closed XX/XX/XXXX SEE AN ERROR? 

You could dispute an error with Equifax. 
GO TO EQUIFAX Creditor Information XXXX XXXX XXXX","Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation into an existing problem,1
9362218,My vehicle was stolen on XX/XX/XXXX my insurance company resolved it as a total loss on XX/XX/XXXX XXXX XXXX XXXX and sent a check XXXX it was cashed XX/XX/year> by XXXX XXXX Ive never had one miss payment on my account for the whole duration of my loan. XXXX XXXX placed a late payment on my account for XXXX. They did not post my account was {$0.00} balance until XX/XX/year>. They stated they couldnt located the check so when they found it they posted to my account. I called and continued to get hung upon and was told that they will do an investigation and it could take up to. 45 days,Credit reporting or other personal consumer reports,Incorrect information on your report,1
8031932,"I was the victim and I'm not sure why the CRA is not complying with the law. The other bureaus have followed suit. Im very confused as to why this one seems to ignore my requests. The bankruptcy which is being reported to my credit report is inaccurate. The case which youre reporting as valid & accurate is actually incorrect. 
I never had a case tried or seen. There was NEVER A JUDGMENT. No judgment means there was never a case. A judge never saw a case so how is one being reported. 
Please see this account is removed from my file at once. 
Bankruptcy XXXX XXXX dismissed Reference # : XXXX PLEASE DELETE!! TU have already removed this account from their records. There was an error present & they were able to find it. I'm confused how you've verified it while the other bureaus have removed. Please delete this from my file. It is inaccurate, erroneous, incomplete or unverifiable.",Debt collection,Written notification about debt,1
6126049,"Hello, Firstly I hope that whoever this message finds does that with them experiencing good health & spirit, and I thank them for using their time assisting me with my current issues. I have to tell you the story starting back in XXXX leading up to our current standing, that's really how long this situation has been kicking me down. In XXXX I started helping someone I had considered a friend and trustworthy by offering him somewhere to stay until his luck turned around. 
His name was XXXX XXXX, I met him at the pool at our apartment complex. He explained how he had recently gone thru a breakup ; he got kicked out of her home that he'd lived in for over a year and now had been sleeping in the Apartment laundry room. I offered him a place on our couch and we went on about life, he didn't have a laptop so I'd let him use mine. He managed to get a job and work for XXXX weeks, my cellphone was due for an upgrade so i sold him my old phone. 
On XX/XX/XXXX my gf, son and daughter went on a camping trip in western NC and XXXX had lived with us for a while without any incident so we thought nothing of it. The trip itself is meant to be a break from "" data '' so it wasnt weird to not have talked to anyone until Monday, when we arrived home a bigger picture was made clear. XXXX was gone with my old phone, was my laptop, and some debit cards, and we couldnt find him. The timing was no coincidence as I had gotten my VA benefits on the XXXX, but with the laptop he had managed to change my direct deposit to an account he had setup. Then with money I had aside in my Bank of America, my XXXX, my XXXX XXXX  and my XXXX  account he transferred, cashed out, and just got it anyway he could. I had never been in a situation like this so I was in uncharted territory, he was playing on my emotions really just buying as much time as he could until I had to call someone. The authorities have basically said they will do their best and do what they can but I know thats a hopeless route I don't want to travel, I don't even know his real name. 
I called Bank of America as soon as I found out what happened and disputed the transactions, I've never underwent their dispute process but had seen its "" XXXX Liability '' tagline numerous times in ads on their page/app. I disputed the transactions on the XXXX and was instructed to call back after all the charges were final, so that's what I did. The representative I spoke with seemed to be challenged regarding the situation, and it's fine if that was the case, at least shes trying. I've tried to assist and provide my notes but the local branch employee stopped replying to me. Since that day I have checked my dispute status daily, diligently watched my inbox, spoke with a local branch employee who said I had messages to respond to which didn't exist when I checked. I was also told I would need a new debit card for the disputes to be paid out to since the account had to be closed, which ended up with me getting XXXX debit cards somehow. I have gotten no guidance, no support, nothing at all, XXXX communication despite me trying. 
I am a service connected XXXX veteran so I'm on a fixed income, and any cushion I did have was gone after XX/XX/XXXX. It is now XX/XX/25 and my circumstance hasn't changed, and yes I was informed that the process could take up to 40 days but they always say that. I basically haven't had any income since XX/XX/XXXX at this point and the strain on my life/wellbeing is adamant. So here I am tossing up a XXXX XXXX after some research on how to proceed, and I am not necessarily asking for the credits ( I certainly wouldn't turn it away ). Some kind of something would be acceptable instead of just feeling insignificant and forgotten. 
Thanks again for assisting me and giving me your time, I've always felt as though time is undervalued and underappreciated as a gift or gesture. It is after all the one thing we can all give but never get back. 

Best Regards, XXXX XXXX XXXX Bank of America XXXX ID XXXX Account ending XXXX",Checking or savings account,Managing an account,1
2543463,The company   XXXX   XXXX   is trying to verify our account and has not done so in a timely matter therefore keeping us from accessing borrowing money from them. They 've been trying to access our account since  XXXX   XXXX  it is now  XXXX   XXXX  and they have the option of us contacting the bank or filing a complaint so that we can be able to borrow the funds.,Checking or savings account,Managing an account,1
6447831,"On ( XX/XX/2022 ) I sent a letter regarding inaccurate accounts, bankruptcies and unknown things on my credit report. To this day over 60 days later I have not received a response yet. feel like i'm being taken advantage of and being ignored of my disputes. Section 611 ( a ) it is plainly stated that failure to investigate these items within 30 days gives a reason to immediately remove those items from my credit report. It has been over 60 days so they should be deleted promptly. I demand these accounts be deleted immediately or I will file for litigation due to the stress you caused me. My information was also impacted by the XXXX data breach and XXXX have got into the hands of the wrong person.","Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation into an existing problem,1
2118250,"I applied for a modification and was recently denied due to Nationstar mortgage is using debts that I do n't have against me. I asked about the denial and they informed me that I do n't make enough money versus the debt I have, when I asked them to breakdown my debts one of the Representatives stated that since you did n't provide a detailed breakdown of expenses we will generate our own expenses. I stated that I did so and it was already confirmed received and the gentlemen stated on XX/XX/2016 well it does n't matter because we generate our own even if you did It 's up to the underwriter 's discretion. That makes absolutely no sense so I called back and spoke to XXXX at XXXX and was again informed that I was declined due to income versus expenses. She was a lot nicer and provided more information. I was told that Nationstar 's underwriter stated that my water and sewer bill was {$450.00} a month when she sees that the financial breakdown of my expenses says {$65.00} and something called other for {$1500.00}, I asked what that other was for and she said no one knows but the underwriter and because they said other is {$1500.00} and water & sewer is {$450.00} then it stands. 
I am so appalled that a financial institution that has received bailout money to help me with a Government modification can disregard facts and make-up debts to decline homeowners. I am not going to allow Nationstar to make me a victim and let me lose my home.",Mortgage,"Loan modification,collection,foreclosure",1
3592281,"I had a heloc inXX/XX/XXXX with Bank of America. In the amount of {$56000.00}, of which I received ONLY {$25000.00} in XX/XX/XXXX. 
The HELOC reached a high balance of {$100000.00}, I believe, unbeknoweth to myself prior to XX/XX/XXXX. I learned of this error high balance upon speaking with a BOA representative while attempting to correct the item with the credit bureau. 
This item was on the file with the credit bureaus, in error, exceeding the seven year statute, from XX/XX/XXXXthru XX/XX/XXXX. 
I had great difficulty having this fraudulent act removed from my credit file. 
BOA charged off the account in XX/XX/XXXX, and sold the account to a collection agency, who I spoke with and are attempting to collect on an outdated account. 
The property was sold at XXXX County auction for one year unpaid property taxes, which was the equity for the {$56000.00} BOA HELOC. 
I never received a BOA bank statement concerning my HELOC deposit into my BOA checking/savings account, nor did I receive any deposit interest on the {$25000.00} that I initially received in the BOA HELOC, which possibly accrued interest adding up to over {$1000.00} per month for years, I received no withdrawal statements from BOA amounting to over {$81000.00} in transactions. 
I received a letter from BOA stating thefts from accounts at BOA and mine may have been affected in XX/XX/XXXX. 
In XX/XX/XXXX my BOA account had Overdraft fees for checks written on my account amounting to over XXXX XXXX dollars in less than one month, this did not include the amounts of the checks, which I know not, who wrote the checks, because I received no bank statements from BOA and I had an all time consuming fire in XX/XX/XXXXallegedly caused by a XXXX recalled fan motor. 
A successful Civil tort was pursued by XXXX  on my and XXXX  behalf of which I received XXXX proceeds for my demolished home insured by XXXX XXXX XXXX. 
Identity theft of myself by a BOA employee and fraudulent monetary gains activity, I suspect in this Bank of America matter. 
Again, I received only XXXX of a XXXX BOA HELOC with no interest added to my savings or checking account, that I received Not an amount of XXXX as BOA is alleging and investigating. 
I did not walk in and unlock the {$56.00} HELOC, as us required by BOA. 
I am ignorant to the dates and times and locations of the unlocking my BOA HELOC to the unheard of amount of {$100000.00}. 
The property in question was originally purchased in XX/XX/XXXX by myself for {$18000.00}. 
The HELOC loan amount of {$550.00} per month was more than it should have been on 4.5 percent interest rate for a {$56000.00} loan.",Mortgage,Trouble during payment process,5
8025685,"THIS VERY SERIOUS ISSUE has still not been resolved- This property is vacant and a health hazard in its current condition. It has been vacant since XXXX XX/XX/2022. They NEED to get the keys from me Prior complaint resulted in them sending me a jpg of the same documents they sent in the mail stating I owe taxes. I do not owe taxes. I never owed taxes. I never missed a mortgage payment they refused to take the mortgage payment at all. They told me repeatedly all or nothing. I did not have the all I purchased the property because I didnt have to pay the taxes! 

PRIOR COMPLAINT : I closed on a property at XXXX XXXX XXXX XXXX XXXX IL XXXX. Us bank much to my horror purchased my account. I was unable to setup autopay because of an existing secure credit card I opened about a year prior and had been unable to close or access the secured funds, even after repeatedly contacting them. Due to this card I couldnt access either account. I finally got a copy of this credit card to actually utilize my own funds theyd refused to return for a year. However, after receiving the card I couldnt make a payment to it online and couldnt get a statement sent to me, knowing I still had about XXXX $ credit I closed the account hoping this would clear up mortgage drama plus I cant pay an account they wont give me payment information on. They then held that account open until finance charges applied so they wouldnt have to return any money to me. On XXXX XXXX I went to pay my mortgage and they said I owed almost XXXX instead of XXXX. I said I dont have XXXX I have XXXX. I went from department to department explaining I do not owe the taxes, clearly there has been an error. In the state of XXXX I do not pay property taxes which is why I bought a home here and not Indiana. I am a 100 % Permanent and Total Service Connected XXXX ( medically retired ) veteran. That entitles me to XXXX property taxes. I said Id clear it up I still wanted to pay mortgage. They refused. They refused to correct the issue, they refused to take the mortgage payment. I contacted the state of IL and went to XXXX office to submit form and copy of ID proving my status. They stated theyd clear it up. I have all 3 past due mortgage payments. Now theyre stating I owe almost XXXX for this years taxes- again, I dont owe them. This is the law. ALL paperwork was provided in order to write the loan WITHOUT property taxes to get it to clear closing. In the meantime it has come to my attention that this loan should never have been approved. I am missing disclosures from the seller, the hvac collapsed, the window doesnt shut and is stuck open, there is no heat, the foundation wall crack that was repaired is leaking, there is a profound mouse and electrical problem the seller had to have known about. I want to return this house in a deed in lieu of foreclosure. I am suing the parties involved in this sale and us bank for negligence and breach of contract. I NEVER refused to pay my mortgage. I have never not been able to pay my mortgage and I can prove this because I am using the money to move out. By failing to accept my payment over a tax bill I provided proof I do not pay AT CLOSING, and then push me into foreclosure while waiting to prove I do not owe taxes us bank has failed their end of this financial obligation and contract in what appears to be a breach of contract. It WILL be cleared up by the state that I do not, in fact, owe taxes. Also- us bank technically would be owing me money over this had they not chosen to refuse the mortgage payment. Likewise I couldnt escape the home from XXXX had they not been so blatantly ignorant. I was always transparent- I am being so now. They FAILED to honor their agreement and are forcibly foreclosing on me in the process when the money was always available to make the payments. Please assist",Mortgage,Trouble during payment process,3
1992295,I received a certified letter from XXXX XXXX on XX/XX/2016. They indicated that they were referred by our Servicer ( Bank of America ) to XXXX for Foreclosure action. My complaint is for XXXX XXXX to stop committing forgery to foreclose and to give us competent and reliable evidence. XXXX XXXX is violating the FCDPA and US Mail Fraud Statues by using deceptive means to collect. We have searched the Secretary of State for California website and they are not even registered to do business in California. They are XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX,Mortgage,"Loan modification,collection,foreclosure",5
10537389,"RE : XXXX  Block Request To Whom It May Concern, I am a victim of XXXX The information listed below, which appears on my credit report, is the result of that XXXX 
ACCOUNTS : XXXXXXXX XXXX XXXX XXXX XXXXXXXX - XXXX - {$0.00} XXXX XXXX  XXXX - XXXX - {$0.00XXXX XXXX XXXX XXXX XXXX XXXX - XXXX - {$84.00} XXXX XXXX XXXX XXXX XXXX - XXXX - {$1400.00} XXXX XXXX XXXX XXXX - XXXX - {$1300.00} XXXX XXXX XXXXXXXX - XXXX - {$0.00} INQUIRIES : XXXX XXXXXXXX XXXX Please block this information from my credit report within four business days, pursuant to Section 605C of the Fair Credit Reporting Act.",Credit reporting or other personal consumer reports,Incorrect information on your report,1
5996548,"I'm writing this letter in regards to an account opening at the checkout register performed by an employee of XXXX XXXX and initiated deceptive practices to open their XXXX XXXX XXXX by XXXX XXXX in my presence without knowledge, consent, or agreement XXXX XX/XX/2022, I entered XXXX XXXX to pay for duplicate car keys cut I presented the ticket at the Information booth assigned as the payment station handed the lady the ticket price confirmed and swiped my Credit Card. The employee replies congratulations!! 
you have been pre-approved as a member of XXXX XXXX XXXX with a $ XXXX line of credit. And You can spend available today {$2000.00}. I replied oh really?? How did they know to approve was it a soft pull? She replied yes! it's the computer. It randomly picks a client of XXXX XXXX, and your are one of the lucky ones. 
I said That's great. She replies yes, it's a special promotion and congratulations!! She then said to receive this special offer ; I need to confirm your identity for verification. Can I see your driver 's license, please I said, ok and to ensure your a XXXX XXXX member, can you please write down on this slip of paper your social security number while im confirming your ID take a look at this brochure and read all the wonderful benefits XXXX has to offer I replied well I don't have my glasses I can't read small print. She says ok well, I'll be right back XXXX mins later, she returns. I put you in the system, and you were only approved for {$1000.00} I replied what do you mean? You already told me I was pre-approved for {$5000.00} and {$2000.00} available today she replies well, it's the computer decides and that's the amount approved I said wait for a second, did you just run my credit she says yes! 
I said what why? I never permitted you to open an account I asked you is it a soft pull you said yes I never wanted to open this account and especially have any hard enquirers on my credit i repeatedly asked her why did you do that. You tricked me I said call the credit card company, now explain the situation, and cancel the card and tell them I never authorized any account to be opened she then called the credit card company and began telling them I want to cancel the card. I don't want the card I said tell them you deceived me and tricked me into opening this account she continues telling the credit card company I don't want the account I'm very upset at this point I said let me speak to them she gives me the phone I explained everything that just happened and the credit card company operator kept saying umm so you want me to close the account i said what do you mean? I want you to cancel the account he replies sorry sir but the account has been opened i said I never signed anything I never authorized any account ' To be opened this woman deceived me into giving her my information so she could open this account i said why do you keep saying close the account I said i will call you back when I get home I can hardly hear what you are saying it's very busy in here I then asked the lady for the phone number she just called and I said you should be ashamed of yourself and I will be calling your superiors and then I left I contacted XXXX  told them the situation they apologized and assured me the account is closed and the enquiry and closed account will be removed within 30-60 days from all 3 reporting agencies I have called XXXX  they continue to tell me it will be removed once updated next month I have disputed several times with the credit bureau they continue to refer me back to the lender every dispute I make XXXX  continues to confirm the account as closed by the consumer i never agreed or applied or signed anything in regards to opening this account opened without my knowledge and consent intentional deceptive practices by XXXX XXXX XXXX XXXX would like your assistance in removing this account as it should never have been placed on my good credit standing Thank You","Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation into an existing problem,3
1822697,"My husband and I were approved for a mortgage in XXXX. We were facing forclosure and abandoned the house in XXXX XXXX. Lender was notified that we were vacating the property. A sheriff sale was set for XXXX XXXX, but was postponed for unknown reasons. On XXXX XXXX, XXXX we were served papers. My complaint is that we could be close to purchasing another house after five years, but US Bank has delayed the process to an extent that is unacceptable. Five years later and we are finally getting closer to being able to put this behind us, when all of this should have happened after we abandoned the property.",Mortgage,"Loan modification,collection,foreclosure",2
